Distanz;PRESSURE1 ;TRACER PLy2;;Distanz;PRESSURE1 ;TRACER PLY3
0;1000;1;;0;1000;1
0,05;1000;1;;0,05;1000;1
0,1;1000;1;;0,1;1000;1
0,1499;1000;1;;0,1499;1000;1
0,2;1000;1;;0,2;1000;1
0,25;1000;1;;0,25;1000;1
0,2999;1000;1;;0,2999;1000;1
0,3499;662,6726034;0,958645307;;0,3499;876,3403607;0,873093956
0,4;462,871854;0,900343225;;0,4;774,9782975;0,764052379
0,45;345,7608634;0,757808378;;0,45;688,3856319;0,668122803
0,5;263,5033823;0,582808215;;0,5;610,1274938;0,578930162
0,55;203,0287749;0,408292938;;0,55;539,3317439;0,4996119
0,5999;155,1690667;0,263193314;;0,5999;472,275078;0,43016927
0,65;118,6705809;0,151192795;;0,65;409,0623665;0,370210086
0,6999;90,50122632;0,077665914;;0,6999;348,1932395;0,320702643
0,75;68,24353443;0,035706231;;0,75;288,7104152;0,278443282
0,8;50,06717287;0,014445425;;0,8;229,7334031;0,244775245
0,8499;35,00409666;0,005344283;;0,8499;171,3427317;0,219820317
0,9;22,04669953;0,001678591;;0,9;113,6910943;0,201806577
0,9499;10,83631885;4,92E-04;;0,9499;56,82491205;0,191016675
1;0;2,58E-04;;1;0;0,187650353
